seconds,X,Y,Z
18.774,1.004013,-12.393882,0.335801
18.783,0.544623,-11.665575,0.192274
18.792,-0.074182,-10.8026,-0.323275
18.801,-0.778297,-9.904775,-0.794042
18.81,-1.590382,-9.173298,-0.707496
18.819,-2.597326,-8.765536,-0.530842
18.828,-3.278993,-8.524593,-0.493732
18.837,-3.551262,-8.328394,-0.383206
18.846,-3.723166,-8.236791,-0.329634
18.855,-3.763953,-8.307842,-0.231883
18.864,-3.767142,-8.392041,-0.342534
18.873,-3.764671,-8.605345,-0.779102
18.882,-3.244182,-8.753336,-0.649422
18.891,-2.846897,-8.986809,-0.366916
18.9,-2.702317,-9.049498,-0.1333
18.909,-2.396538,-8.966046,-0.035903
18.918,-2.076491,-9.030775,-0.041803
18.927,-1.802346,-9.085047,0.171731
18.936,-1.771202,-9.14743,0.110574
18.945,-1.899837,-9.13387,0.262491
18.954,-2.217979,-9.144384,0.318783
18.963,-2.319474,-9.101404,0.20547
18.972,-2.519361,-8.995438,-0.054894
18.981,-2.712583,-8.764186,-0.375334
18.99,-2.771672,-8.560468,-0.579521
18.999,-2.899972,-8.474698,-0.734579
19.008,-3.218372,-8.506397,-0.82327
19.017,-3.354487,-8.690781,-0.684818
19.026,-3.318565,-8.89603,-0.548425
19.035,-3.311602,-9.119916,-0.619399
19.044,-3.108038,-9.25969,-0.877791
19.053,-2.952501,-9.325406,-1.164942
19.062,-2.550744,-9.413742,-1.394948
19.071,-2.026529,-9.414873,-1.425498
19.08,-1.666958,-9.518475,-1.192839
19.089,-1.14485,-9.716733,-0.816078
19.098,-0.713989,-9.806736,-0.272479
19.107,-0.386491,-9.945878,0.141698
19.116,-0.152951,-10.081744,0.238348
19.125,-0.055488,-10.150496,0.16338
19.134,0.008207,-10.306119,0.047396
19.143,-0.041199,-10.394369,-0.106417
19.152,-0.176999,-10.604532,-0.230887
19.161,-0.524407,-10.963911,-0.134334
19.17,-0.881813,-11.38169,0.069374
19.179,-1.301124,-11.823822,0.155144
19.188,-1.637586,-12.177408,0.053783
19.197,-1.933825,-12.530025,-0.389987
19.206,-2.330928,-12.778908,-1.090559
19.215,-2.893575,-13.073433,-2.009875
19.224,-3.327816,-13.228069,-2.829171
19.233,-3.269598,-13.10812,-2.994677
19.242,-3.384405,-12.609112,-2.935952
